"","SampleID","InitialTemp","FinalTemp","Volume","TrayNum","deltaSAWt","InitBW","FinalBW","DeltaBW","DeltaBW_all","pcDeltaBW","TrayWt","DW","AW","AFDW","pcAFDW","SA","Nuts","Tank","Aq_Ex1","Aq_Ex2"
"24",324,26.368,25.04,85,136,6.8951,83.1257762362632,78.6539327930174,NA,-4.4718434432458,NA,2.5436,87.3464,83.8657,3.4807,0.0398493813139408,326.730964393634,"Medium","Mid",19,54
"25",325,26.414,25.038,75,100,5.795,77.1203183403656,77.8678702542744,0.747551913908808,0.747551913908808,0.00969331986688041,3.17526,82.06474,78.84424,3.2205,0.0392434070954225,275.916725099732,"High","Mid",23,60
"26",326,26.373,24.546,75,102,7.6144,72.9946397702773,72.5607769599112,-0.433862810366094,-0.433862810366094,-0.00594376260683676,2.84961,76.58039,73.56149,3.0189,0.0394213192176222,275.958114884935,"High","Mid",23,59
"27",327,26.392,24.523,70,119,8.9772,77.6464105272258,77.9278430662895,0.28143253906363,0.28143253906363,0.00362454023505631,2.82708,81.83292,78.69152,3.14139999999999,0.0383879739351839,332.508978407993,"High","Mid",23,58
"28",328,26.427,24.313,75,117,5.9745,81.2506107854477,80.9736334589397,-0.276977326507989,-0.276977326507989,-0.00340892608474516,2.24272,86.80728,83.25928,3.548,0.0408721480502557,569.28752261963,"High","Mid",23,57
"29",329,36.369,25.055,75,116,12.3129,73.4088091775704,74.3267441162761,0.917934938705699,0.917934938705699,0.0125044248638509,2.74764,78.70236,74.90226,3.8001,0.0482844478869503,351.606225300725,"High","Far",35,72
"30",330,26.434,25.046,80,133,7.6755,73.3530621363087,77.1448776963452,NA,3.79181556003653,NA,2.54908,77.21092,74.37772,2.83320000000001,0.0366942914292435,345.339811820968,"High","Far",35,70
"31",331,26.378,25.064,80,115,6.6,82.2443400732436,82.7457657784857,0.50142570524207,0.50142570524207,0.00609678069999127,2.48445,86.79555,83.45815,3.3374,0.0384512800483435,293.176265529444,"High","Far",35,71
"32",332,26.364,25.053,85,120,10.3627,80.873728691518,81.8966332633742,1.02290457185626,1.02290457185626,0.0126481687985228,2.66358,86.01642,82.02562,3.99080000000001,0.0463957928032811,261.885587915865,"High","Far",35,69
"33",333,26.38,24.354,80,111,6.2331,82.898110745648,83.1379981433491,0.239887397701153,0.239887397701153,0.00289376193912534,2.68515,87.71485,84.31805,3.39680000000001,0.0387254837692821,317.687296326747,"High","Near",11,47
"34",334,26.364,24.351,70,122,6.4426,80.0507468972858,79.03693775955,-1.01380913773582,-1.01380913773582,-0.0126645806195494,2.56705,83.73295,80.64625,3.08669999999999,0.0368636241766233,517.210894877032,"High","Near",11,48
"35",335,26.379,24.363,75,126,6.6673,80.1984227416117,80.6598259335008,0.461403191889048,0.461403191889048,0.00575327015315033,3.1094,84.8706,81.4666,3.40400000000001,0.0401081175342228,335.286232995124,"High","Near",11,45
"36",336,26.379,24.346,80,108,14.1392,74.3252554254619,73.0114863261399,-1.31376909932192,-1.31376909932192,-0.017675944627455,2.63355,78.19645,74.92705,3.2694,0.0418100821712495,285.386707954211,"High","Near",11,46
